TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore
1,0,4.39,0.58,2.01,0.00,0.00,0.99,-415.57,1.21,3.77,6.00,15.72,36,-11.88047,7.13,7.084,-204.301,-0.216,7.29,7.64
2,0,6.03,0.42,2.28,2.53,0.00,2.00,-317.41,2.79,4.03,7.00,6.75,36,-8.18317,7.14,7.061,-132.908,-0.180,8.05,7.04
3,0,4.94,0.43,1.92,0.00,0.00,3.67,-358.28,0.00,3.04,6.00,12.34,35,-8.76260,6.95,7.608,-143.975,-0.183,7.01,7.09
4,0,3.42,0.35,4.35,0.00,0.00,0.00,-293.55,1.71,4.69,5.00,6.66,30,-8.71323,7.26,6.871,-146.410,-0.207,7.62,6.53
5,0,3.84,0.58,1.87,0.00,0.00,2.00,-284.06,0.00,2.31,0.00,11.75,22,-8.80049,5.95,5.606,-92.725,-0.156,6.74,6.52
6,0,3.75,0.52,1.87,0.00,0.00,2.00,-257.57,3.36,2.61,0.00,11.85,22,-8.70869,5.86,5.818,-91.999,-0.155,7.16,6.52
7,0,4.76,0.69,3.30,0.00,0.00,2.53,-334.05,0.00,4.56,6.00,6.58,33,-9.62862,7.12,7.049,-150.883,-0.207,8.39,6.60
8,0,4.63,0.71,3.30,0.00,0.00,2.30,-343.85,0.00,4.27,6.00,8.39,33,-9.62449,7.19,6.584,-149.445,-0.196,7.58,6.68
9,0,3.97,0.65,3.33,0.00,0.00,1.76,-306.66,3.76,2.99,2.00,4.69,32,-10.28593,7.16,5.689,-138.108,-0.204,7.75,6.96
10,0,3.90,0.67,3.49,0.00,0.00,1.32,-302.90,0.00,3.67,3.00,4.70,32,-10.29753,7.18,5.6,-135.677,-0.201,7.15,6.85
11,0,4.17,0.47,3.25,0.00,0.00,1.90,-293.18,1.13,3.87,3.00,7.73,29,-9.59299,6.95,8.063,-126.433,-0.181,7.06,7.12
12,0,2.83,0.35,1.56,0.00,0.00,0.74,-206.07,4.06,3.66,4.00,1.54,27,-6.46151,6.54,7.185,-81.149,-0.185,7.26,6.02
13,0,3.99,0.36,2.54,0.00,0.00,1.00,-292.40,1.27,5.04,5.00,7.21,27,-8.77537,7.28,6.071,-125.904,-0.200,9.50,7.12
14,0,3.94,0.35,2.54,0.00,0.00,0.97,-287.14,4.32,5.04,5.00,6.68,27,-9.21175,7.13,7.087,-125.362,-0.200,10.52,7.06
15,0,3.97,0.53,1.97,0.00,0.00,1.90,-288.90,1.90,3.62,4.00,9.10,27,-8.98730,7.36,5.626,-129.302,-0.201,11.59,7.03
16,0,3.55,0.41,4.05,0.00,0.00,1.00,-232.71,1.96,4.59,3.00,2.89,28,-8.61576,6.76,6.55,-105.866,-0.186,7.81,6.69
17,0,4.02,0.55,2.93,0.00,0.00,1.00,-306.01,0.00,4.83,5.00,9.49,26,-9.58179,6.69,5.631,-131.905,-0.210,7.27,6.97
18,0,3.84,0.41,1.81,0.00,0.00,1.00,-303.55,1.09,4.37,5.00,9.28,28,-9.28513,7.08,8.533,-149.439,-0.214,10.47,7.07
19,0,3.90,0.45,1.94,0.00,0.00,2.00,-288.25,0.00,3.53,5.00,6.63,27,-9.11545,6.71,7.956,-130.326,-0.209,7.97,6.39
20,0,2.86,0.62,2.26,0.00,0.00,0.00,-248.84,1.51,3.36,2.00,2.02,27,-7.91740,6.70,7.362,-100.004,-0.175,7.97,6.25
