TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore
example10,1,6.58,0.39,3.11,1.00,0.00,0.00,-247.17,1.64,4.46,2.00,15.91,22,-8.6,6.44,6.446,-118.369,-0.200,7.01,6.69
example6,1,5.67,0.14,3.69,0.00,0.00,0.00,-195.90,4.11,4.40,4.00,3.60,32,-6.5,6.57,3.288,-118.292,-0.169,5.85,6.58
example7,1,6.23,0.50,0.97,0.00,0.00,2.74,-254.89,0.00,3.03,2.00,15.37,21,-8.8,6.54,5.086,-115.654,-0.197,6.82,6.69
example4,1,5.78,0.39,2.81,0.00,0.00,0.63,-229.79,0.00,3.23,2.00,13.40,18,-8.7,6.51,5.359,-104.451,-0.214,6.05,6.41
example5,1,6.16,0.53,1.00,0.74,0.00,6.00,-193.62,1.20,2.36,4.00,11.19,15,-7.9,5.38,6.915,-97.526,-0.212,7.18,5.95
example2,1,6.54,0.46,1.69,0.00,0.00,4.36,-294.72,2.21,3.24,6.00,18.29,24,-9.7,6.62,6.447,-143.884,-0.205,8.58,6.83
example3,1,6.57,0.72,2.91,0.00,0.00,0.26,-286.08,15.30,4.48,2.00,21.04,28,-10.4,7.30,6.094,-129.820,-0.166,7.32,7.61
example1,1,5.65,0.60,2.10,0.00,0.00,2.66,-201.64,0.00,2.99,4.00,12.60,16,-7.7,5.99,5.977,-87.212,-0.195,5.60,6.22
example8,1,6.02,0.72,2.84,0.00,0.00,1.65,-231.78,0.00,3.41,2.00,12.14,19,-9.0,6.26,6.381,-92.541,-0.179,7.60,6.70
example9,1,7.47,0.57,0.81,1.00,0.00,2.80,-354.19,1.83,4.35,6.00,23.92,30,-8.3,6.55,6.825,-126.989,-0.149,6.46,7.26
