TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore,Add_Heavy,Add_MW,Add_HA,Add_HD,Add_Charge,Add_RT,Add_Xlogp,FP2
example10,1,6.58,0.39,3.11,1.00,0.00,0.00,-247.17,1.64,4.46,2.00,15.91,22,-8.6,6.44,6.446,-118.369,-0.200,7.01,6.69,22,297.17,3,2,1,7.0,4.74,0000000e0000080000000100000106800040000000000000000000110100400200002100000009410020000c400090008800800000008000000000400008000000040400020000000800040200000801400800001800060060040000004000100020000080400800420000000000008000008008000e00024020000000000000
example6,1,5.67,0.14,3.69,0.00,0.00,0.00,-195.90,4.11,4.40,4.00,3.60,32,-6.5,6.57,3.288,-118.292,-0.169,5.85,6.58,32,452.17,3,2,0,9.0,5.71,0004402a00a020082010612814010e00200610210010004002000000020030090000000000080a40082980044080f0000300982200102000410204410204010e202400000a0001020820200001820801c010000038208700208120008340001b00101000c800008100040050800010800c008304002600032004700020024600
example7,1,6.23,0.50,0.97,0.00,0.00,2.74,-254.89,0.00,3.03,2.00,15.37,21,-8.8,6.54,5.086,-115.654,-0.197,6.82,6.69,21,296.11,3,3,1,5.0,3.82,0000400a000000000010042030000600200400600000408000000000200000000000010000000b400120800440808000000000000040000001020060020c000400042000080008000820200000000300601410201800002021800000000000100000100000000000000000000000008000008004004608104000000020010288
example4,1,5.78,0.39,2.81,0.00,0.00,0.63,-229.79,0.00,3.23,2.00,13.40,18,-8.7,6.51,5.359,-104.451,-0.214,6.05,6.41,18,261.13,3,2,0,5.0,4.85,00800008010000000008010000010e000000200000000000000000016300700000000000000008410121105040248000000008000000000800000000000000000000000002001000000024000000020100080008080180004000000000400010000000008000008040000200a000000001200100018e00000004080080010308
example5,1,6.16,0.53,1.00,0.74,0.00,6.00,-193.62,1.20,2.36,4.00,11.19,15,-7.9,5.38,6.915,-97.526,-0.212,7.18,5.95,15,212.13,1,4,1,4.0,0.93,000000004a000008201001000001060000000080800040000200000000000000000001800008084008200000400080000000000200000000000000000008800810000000020000000000000000020200000000001820002002000000814000100000000080000000005200000000000004000000000600024000000000000600
example2,1,6.54,0.46,1.69,0.00,0.00,4.36,-294.72,2.21,3.24,6.00,18.29,24,-9.7,6.62,6.447,-143.884,-0.205,8.58,6.83,24,331.17,2,4,1,8.0,2.31,0000000a000000082010010800010600040010800000400002040000020010000040018000080850082800044000800000008802001010000100044100084008100400000200000008000000800202004400000018208420220020008140001000040000c0000000207200408000008004428300000600036004000000000600
example3,1,6.57,0.72,2.91,0.00,0.00,0.26,-286.08,15.30,4.48,2.00,21.04,28,-10.4,7.30,6.094,-129.820,-0.166,7.32,7.61,28,378.16,3,1,0,5.0,3.72,0000400a0180580040100100d0010600040800810000800010800080220010000000010000000cd0002800044001c0008000880201308000000814480808000810042000020000000850080000000201c012002018068680330120000050001c10040400c020000008804000900000810040830000060001a004000000000200
example1,1,5.65,0.60,2.10,0.00,0.00,2.66,-201.64,0.00,2.99,4.00,12.60,16,-7.7,5.99,5.977,-87.212,-0.195,5.60,6.22,16,221.17,1,2,1,6.0,3.07,00004002000000000010012004010600200000000000004000000000000000000000000000000a40002800044000b0000200800200102000800200400000000200240000020000000800000000000200401000003800060020002001024000120000000080000000000000100000108008008000000600010000400000000200
example8,1,6.02,0.72,2.84,0.00,0.00,1.65,-231.78,0.00,3.41,2.00,12.14,19,-9.0,6.26,6.381,-92.541,-0.179,7.60,6.70,19,255.16,2,1,0,3.0,4.91,004100000100020000100102001106000000000000100000000002a02000040201000c00001888c2083000004001900004028012002000000000040000040040000100000300002200032008000002010000010018000290000080000050001004200800800020000040400090040500001000000106000a0400000040012600
example9,1,7.47,0.57,0.81,1.00,0.00,2.80,-354.19,1.83,4.35,6.00,23.92,30,-8.3,6.55,6.825,-126.989,-0.149,6.46,7.26,30,457.11,4,5,1,8.0,1.75,0400000a4480025820001308c0710600000030a0000000000200000032003a11000012000088184000200004600080000080480200400080210817490808811812008800020200000088000000020300c0020000082480003a0000900044c00808184401c000000010220000c004400100300300000604020206000004010228
