TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore
decoys1514,0,5.77,0.49,2.89,0.00,0.00,0.00,-234.42,1.95,4.31,6.00,4.52,25,-8.6,7.09,4.74,-87.854,-0.175,8.07,6.55
decoys1762,0,5.73,0.50,3.91,0.00,0.00,0.00,-191.51,0.00,4.66,4.00,0.55,22,-7.1,6.81,7.339,-65.471,-0.152,5.76,5.34
decoys2041,0,5.92,0.38,4.18,0.00,0.00,0.00,-185.44,0.00,5.80,6.00,-4.20,26,-8.1,6.38,7.165,-74.499,-0.197,6.47,6.04
decoys888,0,5.29,0.62,2.11,0.00,0.00,0.73,-187.63,4.18,2.45,1.00,-0.93,22,-8.6,6.76,6.67,-66.890,-0.196,6.73,5.66
decoys1511,0,6.28,0.32,3.54,0.00,0.00,1.00,-241.86,0.00,5.40,7.00,1.07,26,-9.3,6.94,2.343,-85.418,-0.182,9.34,6.36
decoys1801,0,5.65,0.32,3.70,0.00,0.00,0.00,-177.07,0.00,4.28,2.00,0.79,20,-8.1,6.42,7.322,-69.092,-0.178,5.63,5.75
decoys262,0,5.67,0.60,3.26,0.00,0.00,0.00,-177.39,0.00,3.89,0.00,1.74,20,-8.2,6.15,4.824,-54.068,-0.161,7.90,6.04
decoys1025,0,5.72,0.40,4.34,0.00,0.00,0.00,-209.59,1.85,3.79,2.00,4.96,21,-8.0,6.59,7.72,-86.863,-0.192,7.82,6.29
decoys336,0,5.74,0.49,2.91,0.00,0.00,0.00,-179.98,0.00,4.03,0.00,-5.86,23,-8.4,6.87,7.954,-73.342,-0.196,7.41,5.97
decoys514,0,5.82,0.53,4.34,0.00,0.00,0.00,-157.94,3.61,4.74,0.00,-4.49,27,-7.5,6.39,6.435,-66.548,-0.204,9.05,6.13
decoys1440,0,5.33,0.35,2.92,0.00,0.00,0.00,-190.59,0.00,4.21,7.00,-1.97,25,-7.9,6.52,5.988,-82.358,-0.214,6.57,5.60
decoys1551,0,5.02,0.30,1.34,0.00,0.00,1.00,-191.57,0.00,2.86,7.00,3.42,21,-6.8,6.46,6.053,-74.177,-0.187,5.70,5.62
decoys1910,0,5.58,0.45,2.81,0.00,0.00,0.00,-177.40,0.00,4.54,4.00,2.36,19,-6.3,6.41,6.702,-66.447,-0.189,6.07,5.90
decoys328,0,5.67,0.62,4.20,0.00,0.00,0.00,-160.31,1.37,5.15,4.00,-4.04,26,-6.9,5.80,6.133,-67.453,-0.182,6.63,5.45
decoys123,0,6.32,0.31,4.82,0.00,0.00,0.00,-208.91,4.07,6.68,7.00,1.95,26,-7.6,6.92,6.311,-89.245,-0.191,7.24,6.48
decoys1969,0,5.69,0.22,3.23,0.00,0.00,0.48,-197.73,1.23,4.41,5.00,1.20,21,-7.7,6.20,6.23,-77.318,-0.188,6.43,6.12
decoys2284,0,6.74,0.65,5.51,0.00,0.00,0.00,-204.10,0.00,6.39,0.00,-2.42,29,-9.0,6.85,5.078,-85.178,-0.201,7.80,6.62
decoys237,0,7.01,0.60,5.91,0.58,0.00,0.00,-190.32,3.07,7.12,1.00,1.12,23,-9.1,6.91,6.775,-69.026,-0.174,8.34,6.30
decoys1898,0,5.60,0.42,3.27,0.00,0.00,0.00,-195.11,0.00,5.14,8.00,1.40,20,-7.2,6.14,4.351,-78.066,-0.206,6.89,5.92
decoys65,0,6.13,0.28,5.10,0.64,0.00,0.00,-194.89,0.00,6.49,10.00,0.26,26,-7.4,6.74,4.083,-80.379,-0.212,8.63,6.08
decoys1623,0,7.20,0.23,6.05,1.00,0.00,0.00,-182.41,0.00,7.64,2.00,-4.15,25,-8.2,6.29,7.324,-67.312,-0.191,9.12,6.30
decoys69,0,6.62,0.63,5.46,0.00,0.00,0.00,-269.29,1.03,6.48,8.00,6.53,24,-7.9,6.71,7.9,-108.591,-0.189,7.58,6.61
decoys1985,0,6.26,0.42,4.11,0.00,0.00,0.00,-217.99,0.00,5.86,5.00,3.87,21,-8.3,6.25,3.966,-83.730,-0.192,7.21,6.33
decoys2061,0,5.72,0.42,3.53,0.00,0.00,0.00,-191.36,0.00,4.63,4.00,2.03,21,-6.5,6.73,4.14,-62.326,-0.170,6.04,5.66
decoys585,0,5.91,0.64,3.69,0.00,0.00,0.00,-177.43,1.63,5.04,2.00,-0.45,24,-9.7,6.49,4.761,-73.973,-0.183,7.84,6.31
decoys358,0,5.34,0.51,1.62,0.00,0.00,0.00,-180.03,0.00,2.88,0.00,-4.82,22,-8.3,6.88,6.134,-58.582,-0.179,6.55,5.84
decoys1659,0,5.15,0.04,3.17,0.00,0.00,0.00,-145.67,0.00,4.68,7.00,-1.52,21,-6.3,5.89,4.703,-63.035,-0.220,5.56,5.38
decoys2020,0,6.53,0.42,4.99,0.00,0.00,0.28,-264.65,0.00,5.74,6.00,3.48,24,-8.1,6.46,6.621,-110.091,-0.204,6.70,6.38
decoys252,0,5.91,0.60,3.58,0.00,0.00,0.00,-180.03,0.00,4.74,1.00,1.90,19,-8.3,6.45,4.692,-67.419,-0.183,8.77,5.85
decoys1479,0,6.51,0.54,4.05,0.00,0.00,0.00,-218.23,0.00,6.57,5.00,1.01,28,-8.4,6.42,7.429,-75.943,-0.175,7.97,6.46
decoys2245,0,5.98,0.49,3.90,0.00,0.00,0.00,-199.06,0.00,4.99,3.00,-6.89,30,-9.3,6.53,6.846,-95.672,-0.229,9.33,6.53
