TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore
active42,1,6.47,0.49,4.64,0.00,0.00,0.00,-192.95,0.00,6.09,1.00,-3.11,28,-10.2,6.75,8.004,-86.943,-0.212,8.95,6.79
active47,1,5.82,0.54,4.71,0.00,0.00,1.94,-159.18,0.00,5.42,7.00,-7.31,28,-7.8,6.57,6.451,-78.692,-0.207,8.74,6.02
active14,1,6.66,0.37,4.67,0.00,0.00,1.00,-219.19,1.23,6.30,4.00,-1.67,31,-10.1,6.81,8.154,-96.972,-0.208,9.31,6.86
active67,1,6.29,0.55,5.72,0.00,0.00,1.98,-226.34,1.24,5.77,9.00,5.53,22,-8.4,7.08,7.343,-92.152,-0.199,8.34,6.33
active34,1,7.16,0.65,5.69,0.00,0.00,0.00,-235.98,2.05,7.38,2.00,-3.79,35,-10.1,7.14,8.528,-95.942,-0.192,11.03,7.57
active9,1,5.87,0.39,4.24,1.00,0.00,0.00,-171.37,3.67,5.18,7.00,3.19,20,-7.9,6.35,6.522,-71.363,-0.185,6.72,5.81
active43,1,5.50,0.53,3.76,0.00,0.00,0.00,-195.25,0.00,4.84,8.00,2.36,21,-7.6,6.32,4.357,-80.204,-0.203,7.87,5.71
active66,1,6.01,0.37,4.19,1.00,0.00,0.00,-196.59,0.00,5.05,7.00,2.43,21,-8.3,6.60,6.681,-77.338,-0.195,7.94,6.03
active46,1,6.11,0.59,4.71,0.00,0.00,2.00,-212.83,1.45,5.08,7.00,-3.71,28,-8.8,6.96,6.827,-82.620,-0.191,8.13,6.26
active62,1,5.88,0.36,4.19,0.00,0.00,2.00,-183.36,1.52,5.05,7.00,1.37,21,-8.1,6.52,6.247,-75.605,-0.191,7.81,6.01
active44,1,6.62,0.61,4.90,1.00,0.00,1.00,-202.21,2.19,6.23,7.00,3.58,23,-8.4,6.57,7.112,-80.104,-0.180,8.24,6.18
active39,1,6.47,0.64,4.90,0.00,0.00,1.96,-208.36,2.85,6.23,7.00,2.89,23,-8.4,6.89,6.775,-84.474,-0.190,8.83,6.22
active68,1,6.53,0.64,4.90,1.00,0.00,0.00,-211.72,0.00,6.23,7.00,4.81,23,-8.5,6.49,6.006,-77.110,-0.176,8.58,6.18
active41,1,6.32,0.65,4.41,0.00,0.00,0.00,-182.88,0.00,5.86,1.00,-4.87,27,-10.0,6.49,7.295,-74.917,-0.196,8.64,6.56
active48,1,6.30,0.63,4.45,0.00,0.00,0.00,-186.13,0.00,5.50,0.00,-1.16,23,-9.2,6.16,5.936,-68.147,-0.212,8.17,6.03
active56,1,6.81,0.66,3.80,0.00,0.00,0.91,-260.57,0.00,5.41,2.00,2.90,27,-11.4,6.87,8.936,-112.867,-0.213,9.15,7.21
active1,1,5.94,0.46,4.48,0.00,0.00,2.00,-189.34,0.00,5.08,7.00,2.15,20,-7.9,6.13,7.074,-70.516,-0.182,7.71,5.88
active49,1,5.93,0.56,3.17,0.00,0.00,2.00,-204.98,0.00,4.71,7.00,-2.08,26,-8.5,6.85,6.156,-78.490,-0.190,7.57,6.12
active13,1,6.37,0.60,4.40,0.00,0.00,1.92,-257.55,0.00,5.35,9.00,2.02,28,-8.8,7.07,7.283,-111.829,-0.212,7.67,6.39
