TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore,Add_Heavy,Add_MW,Add_HA,Add_HD,Add_Charge,Add_RT,Add_Xlogp,FP2
decoys1514,0,5.77,0.49,2.89,0.00,0.00,0.00,-234.42,1.95,4.31,6.00,4.52,25,-8.6,7.09,4.74,-87.854,-0.175,8.07,6.55,25,380.52,3,2,0,9,4.17,00010012010018000110090240b9060000000000004000000402000000000008000000c00048884008202204600090800304860600020001c008004000020400000020000200200000c00000000062014000000058200e80200400408940021800000080a4002000000000000001000c04000400200600030000200000c12660
decoys1762,0,5.73,0.50,3.91,0.00,0.00,0.00,-191.51,0.00,4.66,4.00,0.55,22,-7.1,6.81,7.339,-65.471,-0.152,5.76,5.34,22,348.37,3,1,0,7,3.55,00004006008023086012002000108600000900001000000400000000000020080000810002004c400028000c700080000000880000340000000000400008040c040c80000000000088400010002400c0c01008000a0006002180200000080009020000000800000400004010808000c000008800010600418800000002010264
decoys2041,0,5.92,0.38,4.18,0.00,0.00,0.00,-185.44,0.00,5.80,6.00,-4.20,26,-8.1,6.38,7.165,-74.499,-0.197,6.47,6.04,26,357.44,1,1,0,8,4.57,0000000144800808200001090001060000001000000201004204000002001400000001000018084008200000400088008000c80200000000010044012000a00800002000020000040008000000020a008000000008028600000000000044801c00000000c00000000022080080000000000003000006000b8404000000000600
decoys888,0,5.29,0.62,2.11,0.00,0.00,0.73,-187.63,4.18,2.45,1.00,-0.93,22,-8.6,6.76,6.67,-66.890,-0.196,6.73,5.66,22,327.42,1,3,0,4,3.19,00014046028018000200010000000e400804000000000000000008800200300100000000000008c0002802044000c0800000881000100020000420400000000001051000020040080820000000000208401011004804868020032000104000040218000004300082000004008000008400808300000600018000100000c14200
decoys1511,0,6.28,0.32,3.54,0.00,0.00,1.00,-241.86,0.00,5.40,7.00,1.07,26,-9.3,6.94,2.343,-85.418,-0.182,9.34,6.36,26,394.92,3,2,0,9,3.23,00008002460018000010010200310600800000000000000000020000000000040000008000080840082024044000980002008426000400018008004000020000000000200200000000004000004042004000002098200f0220000200814400380800248080004000000400000000000c04000000000600630000000001032660
decoys1801,0,5.65,0.32,3.70,0.00,0.00,0.00,-177.07,0.00,4.28,2.00,0.79,20,-8.1,6.42,7.322,-69.092,-0.178,5.63,5.75,20,300.34,1,1,0,5,4.33,000140024000000002104100100006002104002000000000040004800210100000000900204800f004302204c0004080000008100100002000122000020c000400041000020040080820000000a0020d401019015c08a080208108000060081002000000c4000086000000c0900000840040830c000608020810100000c10610
decoys262,0,5.67,0.60,3.26,0.00,0.00,0.00,-177.39,0.00,3.89,0.00,1.74,20,-8.2,6.15,4.824,-54.068,-0.161,7.90,6.04,20,349.20,3,1,0,2,3.19,0801c0121080c8082100410040010210800c1000000281100600200001408300404001010018084008000004d00088608200881e00800000001000c00004200c700100000200008c0060041080120404c000004008068780208000408040001c00042000ac00020408c200404008000000420084200620028200000808c10c20
decoys1025,0,5.72,0.40,4.34,0.00,0.00,0.00,-209.59,1.85,3.79,2.00,4.96,21,-8.0,6.59,7.72,-86.863,-0.192,7.82,6.29,21,297.42,1,2,0,5,4.30,0001600200000008e210010000010e002104000000000002004000800200100000000800004808d000310204e000c0800180081000000020000220400004200c00061000020000080c6000000022020d40101900580880803081080000404018020400008408000210020200800000e40040c304000600020800020000c10630
decoys336,0,5.74,0.49,2.91,0.00,0.00,0.00,-179.98,0.00,4.03,0.00,-5.86,23,-8.4,6.87,7.954,-73.342,-0.196,7.41,5.97,23,357.47,3,1,0,4,4.42,000300021002200000080d0810010e00201c000200108502804081801843d259004000003000184300390b05d00086a00800803800c02021000230c8003c040c10080000020064ac0021001000e0820140000000cf4016806180080082610010020090008c00c99040200010900016040040010c052e38018010180006c10701
decoys514,0,5.82,0.53,4.34,0.00,0.00,0.00,-157.94,3.61,4.74,0.00,-4.49,27,-7.5,6.39,6.435,-66.548,-0.204,9.05,6.13,27,375.49,2,1,0,5,4.77,00000207400082096000658004710610158b100100004042c08000800000140001800104504148d009380044e24080180000a8200035000000230842200c600c6404041082a003001049810051a20000401000841801862021804a008340801080464200800080002a57201040431ac00440218c10c6010944060002900106e0
