TITLE,Active,Score,Stable,LogP,HB,MT,HSPC,VDW,BUMP,HM,RT,Match,Heavy,Vina,RF3,NN,DSX,DSXA,Score2,Xscore,Add_Heavy,Add_MW,Add_HA,Add_HD,Add_Charge,Add_RT,Add_Xlogp,FP2
active42,1,6.47,0.49,4.64,0.00,0.00,0.00,-192.95,0.00,6.09,1.00,-3.11,28,-10.2,6.75,8.004,-86.943,-0.212,8.95,6.79,28,369.48,1,1,1,3,4.48,000020000000280100000100d4010600000000000000000000000400030010080000010010090840082000004000800080008802002020002000040000000000000200000200000004000000004000000002000028028600100040300240001c00800000e000000000004000c00000400a004180000600038004000000000600
active47,1,5.82,0.54,4.71,0.00,0.00,1.94,-159.18,0.00,5.42,7.00,-7.31,28,-7.8,6.57,6.451,-78.692,-0.207,8.74,6.02,28,380.44,2,2,0,10,4.65,0000400243001008201a010a02018600800010004000000006040040000010000202094000080840083800044000d8000401c00200301040012000410004c40e0004000006000500080020080012020141d025000800870820816000004880940000480090000000201200608860008100008322000600038002840040000620
active14,1,6.66,0.37,4.67,0.00,0.00,1.00,-219.19,1.23,6.30,4.00,-1.67,31,-10.1,6.81,8.154,-96.972,-0.208,9.31,6.86,31,414.54,2,0,0,5,4.56,000200000180140000100100000106000000000000000010000000002200100000200000000009e000200000400390000c0088020000000000000400000000000000000002000001020020100000020180000000180c8618000000000050001800001000c0000000000000009000000000000102000600112004000000802200
active67,1,6.29,0.55,5.72,0.00,0.00,1.98,-226.34,1.24,5.77,9.00,5.53,22,-8.4,7.08,7.343,-92.152,-0.199,8.34,6.33,22,298.42,0,1,0,9,6.40,00000000430000082000010a0001020000001000400000000204000000000000000008000008084008100000400088000000400200200000010000010000800800000000020000000000200000020201004001000800010000000000004000100000000080000000001200000020000000000202000200020002040000000400
active34,1,7.16,0.65,5.69,0.00,0.00,0.00,-235.98,2.05,7.38,2.00,-3.79,35,-10.1,7.14,8.528,-95.942,-0.192,11.03,7.57,35,468.59,2,2,0,6,5.52,000260020100140860100100000106002400000100002010020000002000000000200000000009f000280004400390000d80802200100000000200400000200800060000020010010c0020100002020160100000180c06103000200000504018000410008008000010040200100010c10040c002000600110002020000802200
active9,1,5.87,0.39,4.24,1.00,0.00,0.00,-171.37,3.67,5.18,7.00,3.19,20,-7.9,6.35,6.522,-71.363,-0.185,6.72,5.81,20,273.37,0,2,0,7,3.14,04400000430000292000010a002302000000100040000000020400000000040000000c00001808400a300000400080000a80400200200000010000010009810800010000020000000000201000020201000001000800000010000000004008108000200080000000001200000004010800040202000600020402000040000410
active43,1,5.50,0.53,3.76,0.00,0.00,0.00,-195.25,0.00,4.84,8.00,2.36,21,-7.6,6.32,4.357,-80.204,-0.203,7.87,5.71,21,286.37,2,0,0,8,4.48,00000002430000182000010a000106008000100040004100020404000040000000000900000808500810000440008000000040022020000021000201001c800c100000000200000000482000000202010102010008000200208000400040001000000000800000000012000010000000000002220042000ac002000004000480
active66,1,6.01,0.37,4.19,1.00,0.00,0.00,-196.59,0.00,5.05,7.00,2.43,21,-8.3,6.60,6.681,-77.338,-0.195,7.94,6.03,21,285.38,0,3,0,7,4.64,00000002c30000082000010a0001020000001000400000000204000000000000000008000008084008100004400088000000400208200000010000410000800800000000020000000000200000020601404001000800010020000000004020100000000080000000001200000020000000000202000600020002040000000400
active46,1,6.11,0.59,4.71,0.00,0.00,2.00,-212.83,1.45,5.08,7.00,-3.71,28,-8.8,6.96,6.827,-82.620,-0.191,8.13,6.26,28,380.44,2,2,0,10,4.65,0000400243001008201a010a02018600000010004000000002040040000010080202094000080840083800044000d8000401c02200301040012000410004800e0004000006000500080020080012020140d025000800870020816000004800940000480080000000001600208860008100008302000600038002840040000620
active62,1,5.88,0.36,4.19,0.00,0.00,2.00,-183.36,1.52,5.05,7.00,1.37,21,-8.1,6.52,6.247,-75.605,-0.191,7.81,6.01,21,285.38,0,3,0,7,4.64,00000002430000082000010a0001020000001000400000000204000000000008000008000008084008100004400088000000400200200000010000410000800800000000020000000000200000020201404001000800010020000000004000100000000080000000001600000020000000000202000600020002040000000400
active44,1,6.62,0.61,4.90,1.00,0.00,1.00,-202.21,2.19,6.23,7.00,3.58,23,-8.4,6.57,7.112,-80.104,-0.180,8.24,6.18,23,315.36,2,1,0,8,5.33,00000002c30000082000010a000102000000110040000000020400000002000004000800000808600c1000044000880000014002082000000110004100008008000000000200000000002000000206014040010008000100200000000040301000000000c0000000001200000020000000000202000600020002040000000400
active39,1,6.47,0.64,4.90,0.00,0.00,1.96,-208.36,2.85,6.23,7.00,2.89,23,-8.4,6.89,6.775,-84.474,-0.190,8.83,6.22,23,315.36,2,1,0,8,5.33,00000002430000082000010a000102000000110040000000020400000000000804000800000808600c1000044000880000014002002000000110004100008008000000000200000000002000000202014040010008000100200000000040001000000000c0000000001600000020004000000202000600020002040000000400
active68,1,6.53,0.64,4.90,1.00,0.00,0.00,-211.72,0.00,6.23,7.00,4.81,23,-8.5,6.49,6.006,-77.110,-0.176,8.58,6.18,23,315.36,2,1,0,8,5.33,00000002430000082000010a008102008000110040000000020420000000000004000800000808600c100004400088000001400200200000011000410000c008000000000200000000002000000202014140010008000100200000000840001000000000d0000000001200000020000000000222000600020002040000000400
active41,1,6.32,0.65,4.41,0.00,0.00,0.00,-182.88,0.00,5.86,1.00,-4.87,27,-10.0,6.49,7.295,-74.917,-0.196,8.64,6.56,27,355.45,1,1,1,3,4.18,00002000000028010000010094010600000000000000000000000400030010080000000010090840082000004000800000008802002020002000040000000000000200000200000004000000004000000002000028028600100040300240001c00800000e000000000004000c00000400a004180000600038004000000000600
active48,1,6.30,0.63,4.45,0.00,0.00,0.00,-186.13,0.00,5.50,0.00,-1.16,23,-9.2,6.16,5.936,-68.147,-0.212,8.17,6.03,23,328.84,1,0,0,3,3.73,0000c002000028000000012045010600000000010000000018000000020010080000010000010a40002000044000880082008806002020010000044008000008000400000200000008000000000040004010000028028700200000200240000e00002000c0000000080000008000008008008100000600018004000000020200
active56,1,6.81,0.66,3.80,0.00,0.00,0.91,-260.57,0.00,5.41,2.00,2.90,27,-11.4,6.87,8.936,-112.867,-0.213,9.15,7.21,27,362.46,2,1,0,5,4.05,000260020100140040100100000106002400000000002010000000002000000000200000000009f000280004400390000d00800200100000000200400000000000060000020000010e0020100000020160100000180c06103000200000500018000410008008000000000200100000c00040c002000600110000000000802200
active1,1,5.94,0.46,4.48,0.00,0.00,2.00,-189.34,0.00,5.08,7.00,2.15,20,-7.9,6.13,7.074,-70.516,-0.182,7.71,5.88,20,271.35,1,1,0,7,4.61,00000002430000182000410a0001020080041000400001000604040000400000000008000008085008100004400088000000480200200000210001010014800c10000000020000000020200000020201414201000800830020800000004000100000000080000000001200001020000000000222000200028002040004000400
active49,1,5.93,0.56,3.17,0.00,0.00,2.00,-204.98,0.00,4.71,7.00,-2.08,26,-8.5,6.85,6.156,-78.490,-0.190,7.57,6.12,26,356.39,3,2,-1,10,4.19,00004002430000082000110a00010600000010804000000002040000000000080400080000080840083800044000e8000000c022003000000100004100088008000400000200000008002000000202014050010008000f0022002000004000100000000080000080081600000020008000008202000600030002540000000600
active13,1,6.37,0.60,4.40,0.00,0.00,1.92,-257.55,0.00,5.35,9.00,2.02,28,-8.8,7.07,7.283,-111.829,-0.212,7.67,6.39,28,384.55,0,3,2,9,5.01,00000000430000082000010a04010600000010004000000002040000020010000000080000090840083000004000880000004802002020000100040100008008000000000200000000002000000202010040010028008100000000200240001000000000c0000000003200008020000008000302000600020006040000000600
